Mixture	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE	Absolute score (sig.score)
Pt39	0	0.000132078586018962	2.62991007078309e-05	0.00210770531833506	0	0.00404955586114749	0	0.00013375973127882	0	0	0	0.000149070127595793	0.00381220166236833	0	0	0.0191388309257228	0	0	0.00915733049251163	0	0	0.00157701835938135	9999	0.0421811019616838	1.09854420864967	0.040283850165068
Pt4	0.0128121811950062	0	0.00607967663306098	0.056012985127011	0	0	0.00628584478310349	0.0332328941945151	0.00554626411672623	0.0154774314580266	0	0.0134599276087523	0.00417973925431592	0.0324626502729669	0.00821612248249902	0.0778258996011938	0.0134700345002486	0	0.0213489694690849	0	0	0.0618465010101591	9999	0.111908338525966	1.05014565429028	0.36825712170667
Pt44	0.0488597721323513	0	0	0.140731367337157	0	0.0443992274378208	0.0718976954435437	0.015549516910429	0.000828223281671268	0	0	0	0.0168252165055229	0.0117516200224277	0.107773011109727	0.196196234457393	0.0921886778489214	0	0	0.00858021156962513	0	0.0028655244193568	9999	0.467395299252609	0.883308520151001	0.758446298475947
Pt46	0.0193007887051577	0	0	0.0299290208828787	0	0.00736058380867188	0	0.00932643187898299	0.00507510052147178	0.00427191038630815	0	0.00856035202483848	0	0.0828815777639583	0.0128190887508741	0.337399039739003	0.0173396860283658	0	0.0561315997026319	0	0	0.0036518501835572	9999	0.505814870092115	0.864197987666086	0.5940470303767
Pt47	0	0	0	0.0168888492151779	0	0.0970273381504363	0.0218851955348263	0.00269237522054769	0	0	0.0080404763466118	0	0.0594952002481243	0.0126298480429096	0.0262869845748186	0.28138873118397	0.0475969357759997	0	0.0279260641038526	0	0	0	9999	0.300466380629068	0.970343381686791	0.601857998397275
Pt48	0.0195781425882037	0	0.0305604195190942	0.024457504620366	0	0.0287596160711553	0.00345598048503618	0.00451207635214619	0.00046581366823119	0.00449587646027355	0	0.0036664492535932	0.0155564131504182	0.0196485141062803	0.0279789158384839	0.166954120331886	0.000591971805762877	0	0.0128130651859078	0	0	0.00465840601628618	9999	0.214320629792376	1.00691094201653	0.368153285453125
Pt49	0.0229377114791307	0	0.0562770217875976	0.169769569423129	0	0.161617273108972	0.0155139268814835	0.0234160047722187	0.0103039652563379	0.020203790274785	0	0.015550048824837	0	0	0.0812494325515705	0.322908556756972	0.00148716938788559	0	0.0177072451915233	0	0	0.0081545051825983	9999	0.415029757042601	0.909592618303174	0.927096220879041
Pt5	0.00860194941125825	0	0.0177398107463095	0.149980843966968	0	0.0346764417313904	0.0174691551726907	0.0582352504953559	0.00744445220639877	0	0.000173042132993612	0.0195134192228385	0.0492397816192181	0.0172268537565751	0.0440074142605145	0.192864058248218	0.0416016393853214	0	0	0.0117984175060576	0	0.0933372519762692	9999	0.134733674518807	1.03770740671143	0.763909781838377
Pt52	0.00328885974086212	0	0.0138391720176762	0.0219049545621506	0	0.0777167847199242	0.0140596612020889	0	0.00615872576646067	0	0	0	0.0249427226946156	0.0439823401630294	0.0355873515583188	0.161219011218007	0	0	0.0179752608871576	0	0	0	9999	0.22469570180183	1.00269764368222	0.420674844530291
Pt59	0.0041978123846175	0	0.0404701289641938	0.0701504830704431	0	0	0.0730234144814539	0	0	0.0110792873710308	0	0.034339720949771	0	0.0241647789147637	0.051262470494416	0.353464241431002	0.0677257013549083	0	0.0359467289955971	0	0	0.00247278815209708	9999	0.394865616315242	0.921214847278511	0.768297556564295
